circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"J HILLS, 71,72,73,74,75,76,77",TEMPORARY SUPPLY,8,2,2.0,1319.0,14.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"J HILLS,78,79,80,81,82",TEMPORARY SUPPLY,8,8,8.0,1928.0,58.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,JOURNALIST A&B NANDAGIRI HILLS,TEMPORARY SUPPLY,8,6,5.0,2103.0,35.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,JUBILEE HILLS ROAD NO.92,TEMPORARY SUPPLY,8,7,7.0,3810.0,37.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,M L A COLONY,TEMPORARY SUPPLY,8,3,3.0,768.0,15.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,N B T NAGAR,TEMPORARY SUPPLY,8,1,1.0,415.0,5.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,NBT NAGAR B,TEMPORARY SUPPLY,8,1,1.0,871.0,3.3
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,PRASHASAN NAGAR,TEMPORARY SUPPLY,8,10,10.0,1807.0,38.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,RDNO-12 COMAAN TO OMEGA OPPOSI,TEMPORARY SUPPLY,8,2,2.0,1315.0,10.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,SYED NAGAR,TEMPORARY SUPPLY,8,1,1.0,424.0,9.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,TEMP SUPPLY,TEMPORARY SUPPLY,8,15,,0.0,23.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,TRS BHAVAN TO MINISTERS QRTERS,TEMPORARY SUPPLY,8,3,3.0,915.0,23.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,ASWINI & HUDA ENCLAVE,TEMPORARY SUPPLY,8,5,4.0,1291.0,35.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,TEMPORARY SUPPLY,8,34,32.0,40476.0,580.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GUTTALA BEGUMPET,TEMPORARY SUPPLY,8,22,21.0,7995.0,134.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGH VALUE  ROAD NO 1 TO 21,TEMPORARY SUPPLY,8,4,3.0,7012.0,76.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,TEMPORARY SUPPLY,8,51,46.0,34103.0,596.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE BILLS  54 TO 60,TEMPORARY SUPPLY,8,4,4.0,1569.0,20.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS 36 TO 44 AND 44A,TEMPORARY SUPPLY,8,4,4.0,1274.0,19.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS 45 TO 53,TEMPORARY SUPPLY,8,12,10.0,3746.0,75.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS RD NO. 10 TO 15,TEMPORARY SUPPLY,8,1,1.0,1054.0,3.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS RD NOS. 1 TO 9,TEMPORARY SUPPLY,8,2,2.0,306.0,13.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS RD NOS. 26 TO 35,TEMPORARY SUPPLY,8,3,3.0,2916.0,17.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,"JUBILEE HILLS RD NOS.24,25,27",TEMPORARY SUPPLY,8,2,1.0,352.0,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI APTS,TEMPORARY SUPPLY,8,1,1.0,2.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAUDDIN BUILDINGS,TEMPORARY SUPPLY,8,2,2.0,494.0,8.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,KAKATEEYA HILLS,TEMPORARY SUPPLY,8,28,28.0,8275.0,166.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,ROAD NO 36 MAIN ROAD,TEMPORARY SUPPLY,8,4,4.0,3186.0,52.0
