District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,2024-04-01,0.0,12.6
Adilabad,Adilabad Rural,2024-04-02,0.0,10.0
Adilabad,Adilabad Rural,2024-04-03,0.0,9.6
Adilabad,Adilabad Rural,2024-04-04,0.0,13.5
Adilabad,Adilabad Rural,2024-04-05,0.0,8.4
Adilabad,Adilabad Rural,2024-04-06,0.0,10.8
Adilabad,Adilabad Rural,2024-04-07,0.0,12.7
Adilabad,Adilabad Rural,2024-04-08,2.2,18.1
Adilabad,Adilabad Rural,2024-04-09,1.1,14.2
Adilabad,Adilabad Rural,2024-04-10,0.1,16.8
Adilabad,Adilabad Rural,2024-04-11,1.9,17.4
Adilabad,Adilabad Rural,2024-04-12,0.0,16.2
Adilabad,Adilabad Rural,2024-04-13,0.0,14.6
Adilabad,Adilabad Rural,2024-04-14,0.0,9.5
Adilabad,Adilabad Rural,2024-04-15,0.0,10.8
Adilabad,Adilabad Rural,2024-04-16,0.0,10.4
Adilabad,Adilabad Rural,2024-04-17,0.0,9.3
Adilabad,Adilabad Rural,2024-04-18,0.0,12.6
Adilabad,Adilabad Rural,2024-04-19,0.2,11.1
Adilabad,Adilabad Rural,2024-04-20,0.1,11.9
Adilabad,Adilabad Rural,2024-04-21,0.0,10.9
Adilabad,Adilabad Rural,2024-04-22,0.1,16.5
Adilabad,Adilabad Rural,2024-04-23,0.0,25.2
Adilabad,Adilabad Rural,2024-04-24,0.0,9.4
Adilabad,Adilabad Rural,2024-04-25,0.0,4.2
Adilabad,Adilabad Rural,2024-04-26,0.0,12.5
Adilabad,Adilabad Rural,2024-04-27,0.0,11.4
Adilabad,Adilabad Rural,2024-04-28,0.0,13.1
Adilabad,Adilabad Rural,2024-04-29,0.0,14.2
Adilabad,Adilabad Rural,2024-04-30,0.0,11.9
Adilabad,Adilabad Urban,2024-04-01,0.0,7.1
Adilabad,Adilabad Urban,2024-04-02,0.0,3.8
Adilabad,Adilabad Urban,2024-04-03,0.0,3.4
Adilabad,Adilabad Urban,2024-04-04,0.0,4.2
Adilabad,Adilabad Urban,2024-04-05,0.0,4.2
Adilabad,Adilabad Urban,2024-04-06,0.0,5.9
Adilabad,Adilabad Urban,2024-04-07,0.0,6.2
Adilabad,Adilabad Urban,2024-04-08,0.0,6.8
Adilabad,Adilabad Urban,2024-04-09,0.0,7.6
Adilabad,Adilabad Urban,2024-04-10,0.0,9.3
Adilabad,Adilabad Urban,2024-04-11,0.0,8.2
Adilabad,Adilabad Urban,2024-04-12,0.0,7.3
Adilabad,Adilabad Urban,2024-04-13,0.0,7.6
Adilabad,Adilabad Urban,2024-04-14,0.0,4.8
Adilabad,Adilabad Urban,2024-04-15,0.0,4.3
Adilabad,Adilabad Urban,2024-04-16,0.0,6.7
Adilabad,Adilabad Urban,2024-04-17,0.0,4.9
Adilabad,Adilabad Urban,2024-04-18,0.0,2.8
Adilabad,Adilabad Urban,2024-04-19,0.0,4.0
Adilabad,Adilabad Urban,2024-04-20,0.0,7.5
Adilabad,Adilabad Urban,2024-04-21,0.0,7.6
Adilabad,Adilabad Urban,2024-04-22,0.0,7.7
Adilabad,Adilabad Urban,2024-04-23,0.0,6.4
Adilabad,Adilabad Urban,2024-04-24,0.0,5.6
Adilabad,Adilabad Urban,2024-04-25,0.0,3.1
Adilabad,Adilabad Urban,2024-04-26,0.0,2.6
Adilabad,Adilabad Urban,2024-04-27,0.0,4.0
Adilabad,Adilabad Urban,2024-04-28,0.0,3.9
Adilabad,Adilabad Urban,2024-04-29,0.0,4.2
Adilabad,Adilabad Urban,2024-04-30,0.0,4.6
Adilabad,Bazarhathnoor,2024-04-01,0.0,8.2
Adilabad,Bazarhathnoor,2024-04-02,0.0,7.4
Adilabad,Bazarhathnoor,2024-04-03,1.4,5.1
Adilabad,Bazarhathnoor,2024-04-04,0.0,0.3
Adilabad,Bazarhathnoor,2024-04-05,0.0,7.2
Adilabad,Bazarhathnoor,2024-04-06,0.0,6.8
Adilabad,Bazarhathnoor,2024-04-07,0.0,6.6
Adilabad,Bazarhathnoor,2024-04-08,0.0,1.0
Adilabad,Bazarhathnoor,2024-04-09,0.0,15.2
Adilabad,Bazarhathnoor,2024-04-10,0.0,0.9
Adilabad,Bazarhathnoor,2024-04-11,0.0,1.4
Adilabad,Bazarhathnoor,2024-04-12,0.0,0.1
Adilabad,Bazarhathnoor,2024-04-13,0.0,0.4
Adilabad,Bazarhathnoor,2024-04-14,0.0,6.7
Adilabad,Bazarhathnoor,2024-04-15,0.0,7.7
Adilabad,Bazarhathnoor,2024-04-16,0.0,1.2
Adilabad,Bazarhathnoor,2024-04-17,0.0,6.5
Adilabad,Bazarhathnoor,2024-04-18,0.0,11.2
Adilabad,Bazarhathnoor,2024-04-19,0.0,9.6
Adilabad,Bazarhathnoor,2024-04-20,0.0,3.7
Adilabad,Bazarhathnoor,2024-04-21,0.0,14.6
Adilabad,Bazarhathnoor,2024-04-22,0.0,0.2
Adilabad,Bazarhathnoor,2024-04-23,0.0,9.4
Adilabad,Bazarhathnoor,2024-04-24,0.0,0.3
Adilabad,Bazarhathnoor,2024-04-25,0.0,1.3
Adilabad,Bazarhathnoor,2024-04-26,0.0,7.7
Adilabad,Bazarhathnoor,2024-04-27,0.0,1.1
Adilabad,Bazarhathnoor,2024-04-28,0.0,11.1
Adilabad,Bazarhathnoor,2024-04-29,0.0,7.8
Adilabad,Bazarhathnoor,2024-04-30,0.0,0.1
Adilabad,Bela,2024-04-01,0.0,5.2
Adilabad,Bela,2024-04-02,0.0,4.1
Adilabad,Bela,2024-04-03,0.0,4.9
Adilabad,Bela,2024-04-04,0.0,9.9
Adilabad,Bela,2024-04-05,0.0,9.3
Adilabad,Bela,2024-04-06,0.0,6.9
Adilabad,Bela,2024-04-07,0.0,21.3
