MNTH,CIRCLE,DIVNAME,SDNAME,SECNAME,AREANAME,CAT,CATDESC,TOTSERVICES,BILLDSRVS,UNITS,LOAD,TOTSERVICES_outlier_flag,BILLDSRVS_outlier_flag,UNITS_outlier_flag,LOAD_outlier_flag,CAT_CIRCLE_mean,CAT_CIRCLE_sum,CAT_CIRCLE_std,CAT_CIRCLE_count,CAT_CIRCLE_rank,TOTSERVICES_CIRCLE_mean,TOTSERVICES_CIRCLE_sum,TOTSERVICES_CIRCLE_std,TOTSERVICES_CIRCLE_count,TOTSERVICES_CIRCLE_rank,BILLDSRVS_CIRCLE_mean,BILLDSRVS_CIRCLE_sum,BILLDSRVS_CIRCLE_std,BILLDSRVS_CIRCLE_count,BILLDSRVS_CIRCLE_rank
2019-05-31,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADEENAGUDA,5,AGRICULTURAL,1,1.0,2278.0,9.0,False,False,True,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,229.0,96.30672268907563,22921.0,106.60227373157356,238,228.5
2019-05-31,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET A,5,AGRICULTURAL,1,1.0,0.0,5.63,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,229.0,96.30672268907563,22921.0,106.60227373157356,238,228.5
2019-05-31,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET(WEST),5,AGRICULTURAL,1,1.0,0.0,3.75,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,229.0,96.30672268907563,22921.0,106.60227373157356,238,228.5
2019-05-31,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,nan,5,AGRICULTURAL,11,107.0,0.0,39.75,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,190.0,96.30672268907563,22921.0,106.60227373157356,238,87.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,BTNGOS G H SOCIETY,5,AGRICULTURAL,1,1.0,0.0,3.75,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,229.0,96.30672268907563,22921.0,106.60227373157356,238,228.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,G LAMBADI TANDA,5,AGRICULTURAL,3,3.0,0.0,11.25,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,212.0,96.30672268907563,22921.0,106.60227373157356,238,210.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,G.LAMBADI NAGAR,5,AGRICULTURAL,5,3.0,318.0,18.75,False,False,True,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,206.0,96.30672268907563,22921.0,106.60227373157356,238,210.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GACHI BOWLI,5,AGRICULTURAL,6,5.0,1473.0,33.75,False,False,True,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,201.5,96.30672268907563,22921.0,106.60227373157356,238,201.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOPAN PALLY,5,AGRICULTURAL,21,9.0,400.0,81.0,False,False,True,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,167.0,96.30672268907563,22921.0,106.60227373157356,238,190.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOPANPALLY,5,AGRICULTURAL,7,7.0,70.0,26.25,False,False,True,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,196.0,96.30672268907563,22921.0,106.60227373157356,238,195.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOWLI DODDI,5,AGRICULTURAL,2,1.0,0.0,7.5,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,216.5,96.30672268907563,22921.0,106.60227373157356,238,228.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOWLIDODDI,5,AGRICULTURAL,2,2.0,0.0,6.0,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,216.5,96.30672268907563,22921.0,106.60227373157356,238,216.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,KHAJA GUDA,5,AGRICULTURAL,18,5.0,1389.0,60.0,False,False,True,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,178.0,96.30672268907563,22921.0,106.60227373157356,238,201.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,LINGAMPALLY,5,AGRICULTURAL,5,107.0,0.0,19.13,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,206.0,96.30672268907563,22921.0,106.60227373157356,238,87.5
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,5,AGRICULTURAL,18,107.0,0.0,61.5,False,False,False,False,5.0,1190,0.0,238,119.5,95.52100840336135,22734,109.66176219827177,238,178.0,96.30672268907563,22921.0,106.60227373157356,238,87.5
