circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,totservices_outlier_flag,billdservices_outlier_flag,units_outlier_flag,load_outlier_flag,catcode_circle_mean,catcode_circle_sum,catcode_circle_std,catcode_circle_count,catcode_circle_rank,totservices_circle_mean,totservices_circle_sum,totservices_circle_std,totservices_circle_count,totservices_circle_rank,billdservices_circle_mean,billdservices_circle_sum,billdservices_circle_std,billdservices_circle_count,billdservices_circle_rank,circle_encoded,division_encoded,catcode_std,totservices_std,billdservices_std,units_std,load_std,catcode_circle_mean_std,catcode_circle_sum_std,catcode_circle_std_std,catcode_circle_count_std,catcode_circle_rank_std,totservices_circle_mean_std,totservices_circle_sum_std,totservices_circle_std_std,totservices_circle_count_std,totservices_circle_rank_std,billdservices_circle_mean_std,billdservices_circle_sum_std,billdservices_circle_std_std,billdservices_circle_count_std,billdservices_circle_rank_std,totservices_log,billdservices_log,load_log,catcode_totservices_ratio,catcode_billdservices_ratio,catcode_units_ratio,catcode_load_ratio,catcode_catcode_circle_mean_ratio
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,569.0,7.5,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,12.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.013746964023832717,-0.11636139972746931,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,2.1400661634962708,4.0,4.0,0.007029876977152899,0.5333333333333333,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SANTOSHGIRI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,134.0,0.75,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,2.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.13459533181317151,-0.22455575449519374,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,0.5596157879354227,4.0,4.0,0.029850746268656716,5.333333333333333,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC HIGH VALUES,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,14.0,5.03,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,2.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.16793281258264428,-0.155952519175807,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,1.7967470107390942,4.0,4.0,0.2857142857142857,0.7952286282306162,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,85.0,2.25,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,2.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.1482081364607062,-0.20051256454681055,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,1.1786549963416462,4.0,4.0,0.047058823529411764,1.7777777777777777,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SIDHARTHA NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,68.0,0.75,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,2.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.15293094623638154,-0.22455575449519374,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,0.5596157879354227,4.0,4.0,0.058823529411764705,5.333333333333333,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.5&6 D.K.BASTI &APARTMENTS,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,383.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,2.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.06542005921651552,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,0.010443864229765013,1.0666666666666667,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SINGADI KUNTA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,5.0,1.125,9.0,0.3535533905932738,8,5.0,0.0,2.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-0.9899946536459858,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.0238870622929879,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,,1.0666666666666667,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.(NEAR POLICE STN),COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,176.0,1.5,False,False,False,False,4.0,32,0.0,8,4.5,1.125,9,0.3535533905932738,8,1.0,1.125,9.0,0.3535533905932738,8,1.0,0.0,12.0,0.0,-0.1748716471404513,-0.12868560807913204,-0.12292721354385604,-0.21253415952100216,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.1689662339763518,-0.9246164192592151,-1.0927047188121377,-1.393844143154312,-1.064054025976791,-1.0420024236467156,-0.9093025387582353,-0.9740933777825129,-1.393844143154312,-1.1004818528727018,1.0986122886681098,1.0986122886681098,0.9162907318741551,2.0,2.0,0.022727272727272728,2.6666666666666665,1.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TALLAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,5.5,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-0.9807372321046351,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,,1.0666666666666667,1.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PUPPALGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75,False,False,False,False,4.0,32,0.0,8,4.5,1.5,12,1.0690449676496976,8,5.5,1.0,8.0,0.0,8,4.5,1.0,16.0,0.0,-0.22975656715743742,-0.1886597892124073,-0.17182218533908278,-0.17646937459842735,0.0,-1.393844143154312,0.0,-1.393844143154312,-1.393844143154312,-1.0610258177743725,-0.9209837039863084,-1.0327735957305362,-1.393844143154312,-0.9807372321046351,-1.0851219047086071,-0.9107533854999629,-1.0045203839555166,-1.393844143154312,-1.033461411115452,0.6931471805599453,0.6931471805599453,1.55814461804655,4.0,4.0,,1.0666666666666667,1.0
