circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,569.0,7.5
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SANTOSHGIRI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,134.0,0.75
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC HIGH VALUES,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,14.0,5.03
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,85.0,2.25
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SIDHARTHA NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,68.0,0.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.5&6 D.K.BASTI &APARTMENTS,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,383.0,3.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SINGADI KUNTA ,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.(NEAR POLICE STN),COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,176.0,1.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TALLAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PUPPALGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,MOINABAD,CHINNA MANGLARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,MOINABAD,HIMAYATH NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,,0.0,7.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,MOINABAD,SURANGAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,KHANAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MUDMIYAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,146.0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,SHANKAR PALLY,JANWADA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,1.0,119.0,16.28
GADWAL,GADWAL,GADWAL,GADWAL(RURAL),ANANTHAPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,3.0,27.0,9.75
GADWAL,GADWAL,GADWAL,GADWAL(RURAL),PUTANPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,236.0,3.75
GADWAL,GADWAL,ALAMPUR X ROAD,ALAMPUR,ALAMPUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,73.0,3.75
GADWAL,GADWAL,GADWAL,GADWAL(RURAL),ZAM CHED,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
GADWAL,GADWAL,GADWAL,GADWAL(TOWN),GADWAL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,4.0,1140.0,16.5
GADWAL,GADWAL,ALAMPUR X ROAD,ALAMPUR,PRAGATOOR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,7,5.0,205.0,22.5
GADWAL,GADWAL,IEEZA,GATTU,INDUE VASI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,0.75
GADWAL,GADWAL,ALAMPUR X ROAD,ITIKYAL(ERRAVALLY),BEECHUPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,185.0,5.25
GADWAL,GADWAL,IEEZA,IEEZA,IEEZA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,0.75
GADWAL,GADWAL,ALAMPUR X ROAD,SHANTINAGAR(WPALLY),RAJOLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,33.0,3.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,HV-I,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,97.0,3.75
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,HV CT METERS NARAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,,0.0,5.25
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,1.0,70.0,6.0
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,MOULAALI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
